player_id,player,country_short
452,H Larwood (ENG),ENG
453,WE Astill (ENG),ENG
454,HB Cameron (SA),SA
455,SK Coen (SA),SA
456,WR Hammond (ENG),ENG
457,GB Legge (ENG),ENG
458,DPB Morkel (SA),SA
459,IAR Peebles (ENG),ENG
460,HLE Promnitz (SA),SA
461,RT Stanyforth (ENG),ENG
462,CL Vincent (SA),SA
463,RES Wyatt (ENG),ENG
464,GF Bissett (SA),SA
465,AW Palm (SA),SA
466,JFW Nicolson (SA),SA
467,AL Ochse (SA),SA
468,IJ Siedle (SA),SA
469,SJ Staples (ENG),ENG
470,EW Dawson (ENG),ENG
471,Harry Elliott (ENG),ENG
472,CR Browne (WI),WI
473,G Challenor (WI),WI
474,LN Constantine (WI),WI
475,MP Fernandes (WI),WI
476,GN Francis (WI),WI
477,HC Griffith (WI),WI
478,DR Jardine (ENG),ENG
479,FR Martin (WI),WI
480,RK Nunes (WI),WI
481,CA Roach (WI),WI
482,JA Small (WI),WI
483,H Smith (ENG),ENG
484,WH St Hill (WI),WI
485,ELG Hoad (WI),WI
486,OC Scott (WI),WI
487,EL Bartlett (WI),WI
488,M Leyland (ENG),ENG
489,CV Wight (WI),WI
490,DG Bradman (AUS),AUS
491,H Ironmonger (AUS),AUS
492,DD Blackie (AUS),AUS
493,OE Nothling (AUS),AUS
494,EL a'Beckett (AUS),AUS
495,RK Oxenham (AUS),AUS
496,A Jackson (AUS),AUS
497,AG Fairfax (AUS),AUS
498,PM Hornibrook (AUS),AUS
499,TW Wall (AUS),AUS
500,JAJ Christy (SA),SA
501,KS Duleepsinhji (ENG),ENG
502,ET Killick (ENG),ENG
503,B Mitchell (SA),SA
504,HGO Owen-Smith (SA),SA
505,NA Quinn (SA),SA
506,AJ Bell (SA),SA
507,EL Dalton (SA),SA
508,Q McMillan (SA),SA
509,J O'Connor (ENG),ENG
510,RWV Robins (ENG),ENG
511,EH Bowley (ENG),ENG
512,EA van der Merwe (SA),SA
513,F Barratt (ENG),ENG
514,LEG Ames (ENG),ENG
515,EW Clark (ENG),ENG
516,MJC Allom (ENG),ENG
517,FT Badcock (NZ),NZ
518,RC Blunt (NZ),NZ
519,WL Cornford (ENG),ENG
520,CS Dempster (NZ),NZ
521,GR Dickinson (NZ),NZ
522,H Foley (NZ),NZ
523,AHH Gilligan (ENG),ENG
524,M Henderson (NZ),NZ
525,KC James (NZ),NZ
526,TC Lowry (NZ),NZ
527,WE Merritt (NZ),NZ
528,MS Nichols (ENG),ENG
529,ML Page (NZ),NZ
530,AW Roberts (NZ),NZ
531,MJL Turnbull (ENG),ENG
532,TS Worthington (ENG),ENG
533,Hon.FSG Calthorpe (ENG),ENG
534,FI de Caires (WI),IRE
535,GA Headley (WI),WI
536,EAC Hunte (WI),WI
537,JED Sealy (WI),WI
538,EL St Hill (WI),WI
539,W Voce (ENG),ENG
540,LA Walcott (WI),WI
541,EG McLeod (NZ),NZ
542,JE Mills (NZ),NZ
543,GL Weir (NZ),NZ
544,EE Achong (WI),WI
545,N Betancourt (WI),WI
546,MG Grell (WI),WI
547,CFW Allcott (NZ),NZ
548,HM McGirr (NZ),NZ
549,AM Matheson (NZ),NZ
